Команда;p1;p2;Name p1;Name p2;Кодоперации;Mask and;Mask xor
brsh;m;;k;;111101kkkkkkk000;1111110000000111;1111010000000000
brlo;m;;k;;111100kkkkkkk000;1111110000000111;1111000000000000
brpl;m;;k;;111101kkkkkkk010;1111110000000111;1111010000000010
brmi;m;;k;;111100kkkkkkk010;1111110000000111;1111000000000010
brvc;m;;k;;111101kkkkkkk011;1111110000000111;1111010000000011
brvs;m;;k;;111100kkkkkkk011;1111110000000111;1111000000000011
brge;m;;k;;111101kkkkkkk100;1111110000000111;1111010000000100
brlt;m;;k;;111100kkkkkkk100;1111110000000111;1111000000000100
brhc;m;;k;;111101kkkkkkk101;1111110000000111;1111010000000101
brhs;m;;k;;111100kkkkkkk101;1111110000000111;1111000000000101
brtc;m;;k;;111101kkkkkkk110;1111110000000111;1111010000000110
brts;m;;k;;111100kkkkkkk110;1111110000000111;1111000000000110
brid;m;;k;;111101kkkkkkk111;1111110000000111;1111010000000111
brie;m;;k;;111100kkkkkkk111;1111110000000111;1111000000000111
sbi;;;P;b;10011010PPPPPbbb;1111111100000000;1001101000000000
cbi;;;P;b;10011000PPPPPbbb;1111111100000000;1001100000000000
lsl;;;d;;000011dddddddddd;1111110000000000;0000110000000000
lsr;;;d;;1001010ddddd0110;1111111000001111;1001010000000110
rol;;;d;;000111dddddddddd;1111110000000000;0001110000000000
ror;;;d;;1001010ddddd0111;1111111000001111;1001010000000111
asr;;;d;;1001010ddddd0101;1111111000001111;1001010000000101
swap;;;d;;1001010ddddd0010;1111111000001111;1001010000000010
bst;;;d;b;1111101ddddd0bbb;1111111000001000;1111101000000000
bld;;;d;b;1111100ddddd0bbb;1111111000001000;1111100000000000
bset;;;s;;100101000sss1000;1111111110001111;1001010000001000
cli;;;;;1001010011111000;1111111111111111;1001010011111000
bclr;;;s;;100101001sss1000;1111111110001111;1001010010001000
sec;;;;;1001010000001000;1111111111111111;1001010000001000
clc;;;;;1001010010001000;1111111111111111;1001010010001000
sez;;;;;1001010000011000;1111111111111111;1001010000011000
clz;;;;;1001010010011000;1111111111111111;1001010010011000
sen;;;;;1001010000101000;1111111111111111;1001010000101000
cln;;;;;1001010010101000;1111111111111111;1001010010101000
sev;;;;;1001010000111000;1111111111111111;1001010000111000
clv;;;;;1001010010111000;1111111111111111;1001010010111000
ses;;;;;1001010001001000;1111111111111111;1001010001001000
cls;;;;;1001010011001000;1111111111111111;1001010011001000
seh;;;;;1001010001011000;1111111111111111;1001010001011000
clh;;;;;1001010011011000;1111111111111111;1001010011011000
set;;;;;1001010001101000;1111111111111111;1001010001101000
clt;;;;;1001010011101000;1111111111111111;1001010011101000
sei;;;;;1001010001111000;1111111111111111;1001010001111000
nop;;;;;0000000000000000;1111111111111111;0000000000000000
sleep;;;;;1001010110001000;1111111111111111;1001010110001000
wdr;;;;;1001010110101000;1111111111111111;1001010110101000
